Symbol,Woche,Jahr,Monat,KW,Quartal,Open_Woche,Close_Woche,High_Woche,Low_Woche,Volume_Woche,Volume_Avg,Rendite_Woche,Vol_Woche,Vol_Annualisiert,Handelstage,Best_Day,Worst_Day
AVGO,2020-08-31 00:00:00,2020,9,36,3,35.0,36.295,37.896,34.742,166567000,41641750.0,0.037,0.109736,0.77905,4,0.043027,-0.061118
AVGO,2020-08-31 00:00:00,2020,8,36,3,34.352,34.715,35.058,34.352,22229000,22229000.0,0.010567,,,1,0.006757,0.006757
AVGO,2020-09-07 00:00:00,2020,9,37,3,35.266,35.97,36.783,35.0,93171000,23292750.0,0.019963,0.057837,0.4106,4,0.027072,-0.034192
AVGO,2020-09-14 00:00:00,2020,9,38,3,36.441,35.973,37.2,35.5,109720000,21944000.0,-0.012843,0.025322,0.179769,5,0.013004,-0.016916
AVGO,2020-09-21 00:00:00,2020,9,39,3,35.001,35.68,36.18,34.348,91034000,18206800.0,0.019399,0.052111,0.369953,5,0.027858,-0.027656
AVGO,2020-09-28 00:00:00,2020,9,40,3,36.168,36.432,37.1,35.903,58317000,19439000.0,0.007299,0.044246,0.314116,3,0.029428,-0.008277
AVGO,2020-09-28 00:00:00,2020,10,40,4,36.898,35.683,37.071,35.615,33116000,16558000.0,-0.032929,0.069064,0.490307,2,0.011748,-0.031932
AVGO,2020-10-05 00:00:00,2020,10,41,4,36.084,37.67,38.0,35.99,82640000,16528000.0,0.043953,0.026703,0.189571,5,0.025979,-0.005791
AVGO,2020-10-12 00:00:00,2020,10,42,4,38.179,37.865,38.78,37.502,77524000,15504800.0,-0.008224,0.017813,0.126459,5,0.015211,-0.003369
AVGO,2020-10-19 00:00:00,2020,10,43,4,38.124,37.272,38.361,36.711,62411000,12482200.0,-0.022348,0.016074,0.114116,5,0.003548,-0.013104
AVGO,2020-10-26 00:00:00,2020,10,44,4,36.96,34.963,36.996,34.442,81687000,16337400.0,-0.054031,0.048763,0.34618,5,0.022465,-0.034455
AVGO,2020-11-02 00:00:00,2020,11,45,4,35.504,38.062,38.367,34.666,83819000,16763800.0,0.072048,0.043419,0.308244,5,0.044538,-0.000656
AVGO,2020-11-09 00:00:00,2020,11,46,4,38.91,37.35,39.389,36.036,89162000,17832400.0,-0.040093,0.058744,0.417042,5,0.035222,-0.033046
AVGO,2020-11-16 00:00:00,2020,11,47,4,37.481,38.333,38.885,37.4,68262000,13652400.0,0.022732,0.020846,0.147995,5,0.019572,-0.002602
AVGO,2020-11-23 00:00:00,2020,11,48,4,38.537,39.495,39.917,38.3,44300000,11075000.0,0.024859,0.016943,0.120286,4,0.013514,-0.003569
AVGO,2020-11-30 00:00:00,2020,12,49,4,40.346,41.168,41.24,39.81,64415000,16103750.0,0.020374,0.038228,0.27139,4,0.029715,-0.009734
AVGO,2020-11-30 00:00:00,2020,11,49,4,39.402,40.158,40.216,39.274,15454000,15454000.0,0.019187,,,1,0.016787,0.016787
AVGO,2020-12-07 00:00:00,2020,12,50,4,41.641,40.582,42.67,39.828,111644000,22328800.0,-0.025432,0.037303,0.264825,5,0.022372,-0.016981
AVGO,2020-12-14 00:00:00,2020,12,51,4,40.653,43.456,43.565,40.6,132878000,26575600.0,0.068949,0.014428,0.102429,5,0.019855,0.002824
AVGO,2020-12-21 00:00:00,2020,12,52,4,42.815,43.146,43.6,42.37,51681000,12920250.0,0.007731,0.035736,0.253704,4,0.014102,-0.01764
AVGO,2020-12-28 00:00:00,2020,12,53,4,43.434,43.785,43.85,42.679,40982000,10245500.0,0.008081,0.019127,0.135788,4,0.013495,-0.006576
AVGO,2021-01-04 00:00:00,2021,1,1,1,43.933,44.564,44.999,42.054,93004000,18600800.0,0.014363,0.057508,0.408268,5,0.042143,-0.028846
AVGO,2021-01-11 00:00:00,2021,1,2,1,44.061,44.585,45.85,44.042,76481000,15296200.0,0.011893,0.018562,0.13178,5,0.008143,-0.013759
AVGO,2021-01-18 00:00:00,2021,1,3,1,44.828,46.502,46.947,44.828,65526000,16381500.0,0.037343,0.031974,0.226992,4,0.0301,-0.003856
AVGO,2021-01-25 00:00:00,2021,1,4,1,46.956,45.05,47.0,44.151,86306000,17261200.0,-0.040591,0.04719,0.335013,5,0.015831,-0.041326
AVGO,2021-02-01 00:00:00,2021,2,5,1,45.585,46.601,47.852,45.359,78756000,15751200.0,0.022288,0.054298,0.385474,5,0.036049,-0.024513
AVGO,2021-02-08 00:00:00,2021,2,6,1,46.875,48.632,48.702,46.549,75629000,15125800.0,0.037483,0.025831,0.183384,5,0.017743,-0.00965
AVGO,2021-02-15 00:00:00,2021,2,7,1,49.088,48.996,49.514,47.506,63954000,15988500.0,-0.001874,0.025768,0.182932,4,0.013864,-0.013596
AVGO,2021-02-22 00:00:00,2021,2,8,1,48.4,46.987,48.661,45.521,99183000,19836600.0,-0.029194,0.071697,0.509001,5,0.027802,-0.049326
AVGO,2021-03-01 00:00:00,2021,3,9,1,47.97,45.014,49.086,43.3,144203000,28840600.0,-0.061622,0.079725,0.565989,5,0.041948,-0.042046
AVGO,2021-03-08 00:00:00,2021,3,10,1,44.683,45.117,45.745,41.926,148117000,29623400.0,0.009713,0.103038,0.731496,5,0.053056,-0.06418
AVGO,2021-03-15 00:00:00,2021,3,11,1,45.518,47.446,48.727,45.319,223515000,44703000.0,0.042357,0.06911,0.490632,5,0.043443,-0.040199
