Symbol,Date,Jahr,Monat,Wochentag,KW,Quartal,Open,High,Low,Close,Volume,Rendite_Tag,Spanne_Pct,Index_100,MA_20,MA_50,MA_200,Vol_20d_Ann,Drawdown_Pct,Vol_Avg_20d
SMCI,2023-06-14,2023,6,3,24,2,24.317,25.3,23.914,24.777,26456000,0.014453,0.057958,1048.54,21.3885,15.4995,9.8527,0.9716,-0.0531,33387700.0
SMCI,2023-06-15,2023,6,4,24,2,24.446,24.899,23.92,24.392,21982000,-0.015539,0.040928,1032.25,21.8366,15.7684,9.94,0.9769,-0.0678,33111150.0
SMCI,2023-06-16,2023,6,5,24,2,24.5,24.578,23.037,23.077,30346000,-0.053911,0.066892,976.6,22.1677,16.0139,10.0231,1.002,-0.1181,32989100.0
SMCI,2023-06-20,2023,6,2,25,2,22.73,23.571,21.933,22.24,33633000,-0.03627,0.074682,941.18,22.4587,16.2573,10.1017,1.0186,-0.15,33282550.0
SMCI,2023-06-21,2023,6,3,25,2,22.1,22.7,21.72,21.991,26036000,-0.011196,0.04512,930.64,22.7342,16.484,10.1801,1.0226,-0.1596,33707500.0
SMCI,2023-06-22,2023,6,4,25,2,22.199,24.197,22.114,22.646,39366000,0.029785,0.094194,958.36,23.0569,16.7276,10.261,1.0155,-0.1345,34957050.0
SMCI,2023-06-23,2023,6,5,25,2,22.234,22.449,21.423,21.606,25132000,-0.045924,0.047892,914.35,23.2991,16.9435,10.3383,1.0386,-0.1743,35438050.0
SMCI,2023-06-26,2023,6,1,26,2,21.971,22.999,21.308,21.65,28406000,0.002036,0.07936,916.21,23.3473,17.16,10.4148,0.6375,-0.1726,33289750.0
SMCI,2023-06-27,2023,6,2,26,2,22.241,22.834,21.851,22.617,24325000,0.044665,0.044986,957.13,23.3823,17.394,10.4954,0.622,-0.1356,32011400.0
SMCI,2023-06-28,2023,6,3,26,2,22.327,23.816,22.029,23.594,26667000,0.043198,0.08112,998.48,23.3915,17.6451,10.58,0.5926,-0.0983,30929750.0
SMCI,2023-06-29,2023,6,4,26,2,24.08,24.882,23.135,23.593,27266000,-4.2e-05,0.075513,998.43,23.4514,17.8852,10.6646,0.5691,-0.0983,30084900.0
SMCI,2023-06-30,2023,6,5,26,2,24.0,25.396,23.988,24.925,25530000,0.056457,0.058696,1054.8,23.5425,18.164,10.7575,0.5919,-0.0474,29876950.0
SMCI,2023-07-03,2023,7,1,27,3,25.489,26.299,24.671,24.92,17109000,-0.000201,0.065988,1054.59,23.6788,18.4464,10.8499,0.5694,-0.0476,29366800.0
